"BehaviorSpace results (NetLogo 6.3.0)"
"TrabalhoPratico.nlogo"
"experiment"
"10/12/2023 18:57:30:763 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","energiaObtida","energiaHiena","nHienas","reproduzir?","EnergiaPerdidaCombate","nLeoes","AlimentoPeqPorte","descansoLeao","energiaLeao","FomeLeao","HienasMelhoradas?","AlimentoGrandePorte","LeoesMelhorados?","nCelulasAzuis","[step]","count hienas","count leoes","ticks"
"3","25","25","50","true","10","50","5","15","25","10","true","1","true","5","5071","0","0","5071"
"6","25","25","50","true","10","50","5","15","25","10","true","1","true","5","2405","0","0","2405"
"7","25","25","50","true","10","50","5","15","25","10","true","1","true","5","1872","0","0","1872"
"2","25","25","50","true","10","50","5","15","25","10","true","1","true","5","5845","0","0","5845"
"9","25","25","50","true","10","50","5","15","25","10","true","1","true","5","1404","0","0","1404"
"8","25","25","50","true","10","50","5","15","25","10","true","1","true","5","2458","0","0","2458"
"1","25","25","50","true","10","50","5","15","25","10","true","1","true","5","7481","0","0","7481"
"5","25","25","50","true","10","50","5","15","25","10","true","1","true","5","8662","0","0","8662"
"10","25","25","50","true","10","50","5","15","25","10","true","1","true","5","6704","0","0","6704"
"12","25","25","50","true","10","50","5","15","25","10","true","1","true","5","5559","0","0","5559"
"11","25","25","50","true","10","50","5","15","25","10","true","1","true","5","10000","0","2","10000"
"13","25","25","50","true","10","50","5","15","25","10","true","1","true","5","10000","0","1","10000"
"16","25","25","50","true","10","50","5","15","25","10","true","1","true","5","1802","0","0","1802"
"15","25","25","50","true","10","50","5","15","25","10","true","1","true","5","5820","0","0","5820"
"14","25","25","50","true","10","50","5","15","25","10","true","1","true","5","2560","0","0","2560"
"20","25","25","50","true","10","50","5","15","25","10","true","1","true","5","5438","0","0","5438"
"17","25","25","50","true","10","50","5","15","25","10","true","1","true","5","10000","0","2","10000"
"19","25","25","50","true","10","50","5","15","25","10","true","1","true","5","2399","0","0","2399"
"23","25","25","50","true","10","50","5","15","25","10","true","1","true","5","2282","0","0","2282"
"18","25","25","50","true","10","50","5","15","25","10","true","1","true","5","10000","0","1","10000"
"22","25","25","50","true","10","50","5","15","25","10","true","1","true","5","3043","0","0","3043"
"25","25","25","50","true","10","50","5","15","25","10","true","1","true","5","6710","0","0","6710"
"27","25","25","50","true","10","50","5","15","25","10","true","1","true","5","1851","0","0","1851"
