"BehaviorSpace results (NetLogo 6.3.0)"
"TrabalhoPratico.nlogo"
"experiment"
"10/12/2023 19:05:20:084 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","energiaObtida","energiaHiena","nHienas","reproduzir?","EnergiaPerdidaCombate","nLeoes","AlimentoPeqPorte","descansoLeao","energiaLeao","FomeLeao","HienasMelhoradas?","AlimentoGrandePorte","LeoesMelhorados?","nCelulasAzuis","[step]","count hienas","count leoes","ticks"
"6","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","32","0","10000"
"3","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","28","0","10000"
"4","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","42","0","10000"
"5","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","44","0","10000"
"1","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","44","0","10000"
"8","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","24","0","10000"
"7","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","37","0","10000"
"2","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","50","0","10000"
"9","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","37","0","10000"
"10","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","41","0","10000"
"14","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","26","0","10000"
"11","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","40","0","10000"
"12","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","40","0","10000"
"15","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","31","0","10000"
"13","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","45","0","10000"
"18","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","28","0","10000"
"19","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","22","0","10000"
"16","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","42","0","10000"
"17","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","39","0","10000"
"23","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","29","0","10000"
"20","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","46","0","10000"
"24","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","34","0","10000"
"26","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","15","0","10000"
"22","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","39","0","10000"
"25","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","37","0","10000"
"21","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","53","0","10000"
"27","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","39","0","10000"
"28","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","34","0","10000"
"31","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","36","0","10000"
"33","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","23","0","10000"
"34","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","24","0","10000"
"30","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","46","0","10000"
"29","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","49","0","10000"
"32","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","41","0","10000"
"38","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","32","0","10000"
"37","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","33","0","10000"
"40","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","34","0","10000"
"36","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","43","0","10000"
"39","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","41","0","10000"
"35","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","46","0","10000"
"46","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","25","0","10000"
"44","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","36","0","10000"
"43","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","39","0","10000"
"42","45","25","50","true","10","50","15","15","25","10","true","7","true","5","10000","46","0","10000"
